"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","within","10 seconds",0.000231481,"after","NonPred","both","A",50,100,50,50,"w","37","Behaviour","CostlyBehaviours","Courtship","number of songs",-1,1,-0.31847,NA,NA,NA,"from Table 1: interaction estimate, beta/sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,-0.239795918,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","within","10 seconds",0.000231481,"after","NonPred","both","A",50,100,50,50,"w","38","Behaviour","AntiPredator","Mobbing","number of alarms",1,1,0.355563,NA,NA,NA,"from Table 1: interaction estimate, beta/sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86,0.739795918,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"during","NonPred","both","A",657,657,331,326,"x","39","Behaviour","AntiPredator","Avoidance","predator avoidance, number of birds",1,-1,-0.0809,-0.2339,0.0721,0.006094,"Figure 2",2.21,0.14,NA,2.04,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"after","NonPred","both","A",763,763,373,390,"x","39","Behaviour","AntiPredator","Avoidance","predator avoidance, number of birds",1,-1,-0.2543,-0.3968,-0.1117,0.005287,"Figure 2",2.51,0.12,NA,1.98,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"during","NonPred","both","A",657,657,331,326,"x","40","Behaviour","AntiPredator","Mobbing","alarms per bird",1,1,0.0612,-0.0917,0.2142,0.006091,"Figure 2",2.86,0.53,NA,3.75,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"after","NonPred","both","A",763,763,373,390,"x","40","Behaviour","AntiPredator","Mobbing","alarms per bird",1,1,0.1422,1e-04,0.2844,0.005258,"Figure2",1.97,0.38,NA,3.75,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"during","NonPred","both","A",657,657,331,326,"x","41","Behaviour","CostlyBehaviours","Courtship","songs per bird",-1,1,-0.1186,-0.2717,0.0345,0.006099,"Figure2",7.53,0.54,NA,7.16,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"8","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"after","NonPred","both","A",763,763,373,390,"x","41","Behaviour","CostlyBehaviours","Courtship","songs per bird",-1,1,-0.0262,-0.1681,0.1158,0.005246,"Figure2",8.73,0.58,NA,7.1,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","European pine Marten","Martes martes","Mammal","A","Field","V","non-breeding","within","45min",0.0625,"after","Blank","both","A",10,10,10,9,"36","113","Behaviour","AntiPredator","Vigilance","NPeeksEntrance",1,1,1.2956,0.3053,2.2859,0.2553,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.390306122,NA,1.02,2.55,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","Tawny Owl","Strix aluco","Bird","A","Field","V","non-breeding","within","45 min",0.0625,"after","Blank","both","A",9,9,9,9,"36","113","Behaviour","AntiPredator","Vigilance","NPeeksEntrance",1,1,1.3934,0.3634,2.4234,0.2762,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.403061224,NA,1.11,2.69,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","European pine Marten","Martes martes","Mammal","A","Field","V","non-breeding","within","45min",0.0625,"after","Blank","both","A",10,10,10,9,"36","113","Behaviour","AntiPredator","Vigilance","NSittingAtEntrance",1,1,0.8795,-0.0635,1.8225,0.2315,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.278061224,NA,0.36,1.45,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","Tawny Owl","Strix aluco","Bird","A","Field","V","non-breeding","within","45 min",0.0625,"after","Blank","both","A",9,9,9,9,"36","113","Behaviour","AntiPredator","Vigilance","NSittingAtEntrance",1,1,0.5936,-0.3505,1.5377,0.232,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.349489796,NA,0.18,1.55,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","European pine Marten","Martes martes","Mammal","A","Field","V","non-breeding","within","45min",0.0625,"after","Blank","both","A",10,10,10,9,"36","113","Behaviour","AntiPredator","Vigilance","PeeksFrequency",1,1,0.3528,-0.5547,1.2603,0.2144,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.318877551,NA,-0.13,1.12,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","Tawny Owl","Strix aluco","Bird","A","Field","V","non-breeding","within","45 min",0.0625,"after","Blank","both","A",9,9,9,9,"36","113","Behaviour","AntiPredator","Vigilance","PeeksFrequency",1,1,0.7321,-0.2223,1.6864,0.2371,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.331632653,NA,0.3,1.6,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","European pine Marten","Martes martes","Mammal","A","Field","V","non-breeding","within","45min",0.0625,"after","Blank","both","A",10,10,10,9,"36","113","Behaviour","AntiPredator","Vigilance","AwakeningTo1stPeek",1,-1,0.2227,-0.6807,1.126,0.2124,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.426020408,NA,-0.41,1.26,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","Tawny Owl","Strix aluco","Bird","A","Field","V","non-breeding","within","45 min",0.0625,"after","Blank","both","A",9,9,9,9,"36","113","Behaviour","AntiPredator","Vigilance","AwakeningTo1stPeek",1,-1,0.3267,-0.6033,1.2568,0.2252,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.43622449,NA,-0.27,1.44,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","European pine Marten","Martes martes","Mammal","A","Field","V","non-breeding","within","45min",0.0625,"after","Blank","both","A",10,10,10,9,"36","114","Behaviour","CostlyBehaviours","Activity","Time from waking up to exiting box",-1,-1,1.6477,0.6058,2.6895,0.2826,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,0.446428571,NA,1.54,3.29,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","Tawny Owl","Strix aluco","Bird","A","Field","V","non-breeding","within","45 min",0.0625,"after","Blank","both","A",9,9,9,9,"36","114","Behaviour","CostlyBehaviours","Activity","Time from waking up to exiting box",-1,-1,2.3431,1.1433,3.5428,0.3747,"Table2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,0.471938776,NA,2.05,3.9,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","European pine Marten","Martes martes","Mammal","A","Field","V","non-breeding","within","45min",0.0625,"after","NonPred","both","A",10,10,10,9,"36","114","Behaviour","CostlyBehaviours","Activity","MorningLatency",-1,-1,0.0824,-0.8185,0.9833,0.2113,"Table3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.257653061,NA,-0.42,0.59,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"12","JDAT","Stuber",2014,"Great tit","Parus major","N","Tawny Owl","Strix aluco","Bird","A","Field","V","non-breeding","within","45 min",0.0625,"after","NonPred","both","A",9,9,9,9,"36","114","Behaviour","CostlyBehaviours","Activity","MorningLatency",-1,-1,-0.1943,-1.1204,0.7318,0.2233,"Table3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,0.301020408,NA,-0.79,0.39,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Great Spotted Woodpecker","Dendrocopos major","Bird","N","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",30,30,15,15,"93","175","Physiology","Condition","Mass","body mass (g) day 8",-1,1,-0.8164,-0.5613,-0.1715,0.144442,"Figure 2, day 8",12.7905,0.1476,NA,12.2619,0.1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Great Spotted Woodpecker","Dendrocopos major","Bird","N","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",30,30,15,15,"93","175","Physiology","Condition","Mass","body mass (g) day 14",-1,1,0.1052,-0.611,0.8213,0.133518,"Figure 2, day 14",16.3429,0.1666,NA,16.4143,0.1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",29,29,14,15,"93","175","Physiology","Condition","Mass","body mass (g) day 8",-1,1,-0.008,-0.7363,0.7204,0.138096,"Figure 2, day 8",12.7905,0.1476,NA,12.7859,0.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",29,29,14,15,"93","175","Physiology","Condition","Mass","body mass (g) day 14",-1,1,0.0509,-0.6776,0.7793,0.13814,"Figure 2, day 14",16.3429,0.1666,NA,16.3762,0.1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Great Spotted Woodpecker","Dendrocopos major","Bird","N","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",30,30,15,15,"93","175","Physiology","Condition","Growth","WingLength(mm) day 8",-1,1,-0.7175,-1.4558,0.0209,0.141913,"Figure 4, day 8",22.6597,0.2844,NA,21.7552,0.3823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Great Spotted Woodpecker","Dendrocopos major","Bird","N","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",30,30,15,15,"93","175","Physiology","Condition","Growth","WingLength(mm) day 14",-1,1,-0.5212,-1.2489,0.2066,0.13786,"figure 4, day 14",48.2625,0.3174,NA,47.4411,0.5041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",29,29,14,15,"93","175","Physiology","Condition","Growth","WingLength(mm) day 8",-1,1,0.0081,-0.7076,0.7238,0.133334,"Figure 4, day 8",22.6597,0.2844,NA,22.669,0.3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"14","JDAT/KJM","Coslovsky",2012,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","7 days",7,"after","NonPred","both","N",29,29,14,15,"93","175","Physiology","Condition","Growth","WingLength(mm) day 14",-1,1,0.0572,-0.6586,0.773,0.133388,"figure 4, day 14",48.2625,0.3174,NA,48.3372,0.3781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"16","JDAT","Moks",2014,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","V","breeding","within","15 min",0.020833333,"after","Blank","both","A",24,48,24,24,"48","135","Behaviour","ParentalCare","Provisioning","MeanProvisioningRate",-1,1,0.0451,-0.5208,0.6109,0.083354,"Results, means and s.e.",9.2,1.9,NA,9.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.2,NA,NA,NA,NA,"0.06","","Parus_major"
"16","JDAT","Moks",2014,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","V","breeding","within","15 min",0.020833333,"after","Blank","M","A",24,48,24,24,"48","136","Behaviour","ParentalCare","Incubation","time spent brooding/tending to nest",-1,1,0.1908,-0.3762,0.7579,0.083713,"means and se from figure 2",14.2703,3.8919,NA,17.2973,2.5946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"16","JDAT","Moks",2014,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","V","breeding","within","15 min",0.020833333,"after","Blank","F","A",24,48,24,24,"48","137","Behaviour","ParentalCare","Incubation","time spent brooding/tending to nest",-1,1,-0.6298,-1.2095,-0.0502,0.087466,"means and se from figure 2",332.973,60.9729,NA,179.4595,38.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","among","2 days",2,"during","NonPred","F","A",66,66,28,38,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-1.0308,-1.5607,-0.501,0.073079,"means and se from Table 3",0.94,0.11,NA,0.36,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","among","2 days",2,"during","NonPred","F","A",67,67,29,38,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-1.3674,-1.9033,-0.8315,0.074753,"means and se from Table 3",0.94,0.11,NA,0.21,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","among","2 days",2,"during","NonPred","F","A",66,66,28,38,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.8753,-1.3967,-0.354,0.070763,"means and se from Table 3",5.5,0.95,NA,1.61,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","among","2 days",2,"during","NonPred","F","A",67,67,29,38,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.9722,-1.4828,-0.4617,0.067852,"means and se from Table 3",5.5,0.95,NA,1.23,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","among","2 days",22,"during","NonPred","M","A",66,66,28,38,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-0.9285,-1.4526,-0.4044,0.071513,"means and se from Table 3",0.6,0.09,NA,0.19,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","among","2 days",2,"during","NonPred","M","A",67,67,29,38,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-1.049,-1.5639,-0.5341,0.06901,"means and se from Table 3",0.6,0.09,NA,0.13,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","among","2 days",2,"during","NonPred","M","A",66,66,28,38,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.7721,-1.2886,-0.2556,0.069435,"means and se from Table 3",5.24,0.95,NA,1.59,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","among","2 days",2,"during","NonPred","M","A",67,67,29,93,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-1.0683,-1.5843,-0.5523,0.069315,"means and se from Table 3",5.24,0.95,NA,0.54,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
