RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,Setting,Treatment,Season,Design,TreatmentDuration,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,Direction,d,l_95,u_95,v,Calculation,Beta (estimate),l95CI,U95CI,SE,t,T,Z,F,X2,H,U,p,Details
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhawk,Accipiter nisus,Bird,Field,AVM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,call rate,1,2.4343,1.2935,3.575,0.33876,from fig2a,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,V,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,proportion of time wing-flicking,1,2.2267,1.1134,3.34,0.322636,fromfig2d,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VP,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,proportion of time wing-flicking,1,1.6478,0.601,2.6946,0.285256,fromfig2d,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,AV,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,proportion of time wing-flicking,1,3.4408,2.1446,4.7369,0.437313,fromfig2d,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,proportion of time wing-flicking,1,3.3387,2.0598,4.6176,0.425779,fromfig2d,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhawk,Accipiter nisus,Bird,Field,AVM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,proportion of time wing-flicking,1,4.0369,2.635,5.4388,0.511615,fromfig2d,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,V,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,11,Behaviour,Intake,Foraging,proportion of time foraging,1,-2.8112,-4.0062,-1.6162,0.371715,fromfig2b,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VP,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,11,Behaviour,Intake,Foraging,proportion of time foraging,1,-2.4326,-3.5732,-1.2921,0.338628,fromfig2b,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,AV,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,11,Behaviour,Intake,Foraging,proportion of time foraging,1,-4.759,-6.2991,-3.2188,0.61746,fromfig2b,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,11,Behaviour,Intake,Foraging,proportion of time foraging,1,-3.9095,-5.2881,-2.5309,0.494734,fromfig2b,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhawk,Accipiter nisus,Bird,Field,AVM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,11,Behaviour,Intake,Foraging,proportion of time foraging,1,-3.8197,-5.1821,-2.4573,0.483168,fromfig2b,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,V,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,12,Behaviour,AntiPredator,Vigilance,proportion of time vigilant,1,0.2281,-0.7338,1.19,0.240867,fromfig2c,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VP,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,12,Behaviour,AntiPredator,Vigilance,proportion of time vigilant,1,1.1412,0.1385,2.1438,0.261705,fromfig2c,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,AV,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,12,Behaviour,AntiPredator,Vigilance,proportion of time vigilant,1,-0.0504,-1.0106,0.9099,0.240042,fromfig2c,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,12,Behaviour,AntiPredator,Vigilance,proportion of time vigilant,1,0.1811,-0.7802,1.1424,0.240547,fromfig2c,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhawk,Accipiter nisus,Bird,Field,AVM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,12,Behaviour,AntiPredator,Vigilance,proportion of time vigilant,1,0.0764,-0.884,1.0368,0.240097,fromfig2c,,,,,,,,,,,,,
228,KJM,Yoon,2016,Great tit,Parus major,N,Eurasian magpie,Pica Pica,Bird,Field,A,breeding,within,5 minutes,after,NonPred,both,A,12,24,12,12,k,14,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),1,0.3649,-0.4419,1.1717,0.16944,from fig2a,,,,,,,,,,,,,control nest box opening
228,KJM,Yoon,2016,Great tit,Parus major,N,Eurasian magpie,Pica Pica,Bird,Field,A,breeding,within,5 minutes,after,NonPred,both,A,12,24,12,12,l,14,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),1,0.0096,-0.7906,0.8098,0.166669,fromfig2a,,,,,,,,,,,,,large nest box opening
228,KJM,Yoon,2016,Great tit,Parus major,N,Eurasian magpie,Pica Pica,Bird,Field,A,breeding,within,5 minutes,after,NonPred,both,A,12,24,12,12,k,15,Behaviour,AntiPredator,Vigilance,vigilance (% of time),1,0.2155,-0.5869,1.018,0.167635,from fig2b,,,,,,,,,,,,,control nest box opening
228,KJM,Yoon,2016,Great tit,Parus major,N,Eurasian magpie,Pica Pica,Bird,Field,A,breeding,within,5 minutes,after,NonPred,both,A,12,24,12,12,l,15,Behaviour,AntiPredator,Vigilance,vigilance (% of time),1,-0.2368,-1.0397,0.5662,0.167835,fromfig2b,,,,,,,,,,,,,large nest box opening
150,KJM,Tang,2013,Peaceful dove,Geopelia striata,N,Eastern ground snake,Pseudonaja textilis,Reptile,Field,V,non-breeding,within,30 minutes,after,Blank,both,A,7,70,7,7,m,16,Behaviour,Intake,Foraging,giving up density,-1,1.1667,0.789,1.5445,0.0371,from figure 3,,,,,,,,,,,,,
150,KJM,Tang,2013,Peaceful dove,Geopelia striata,N,Eastern ground snake,Pseudonaja textilis,Reptile,Field,AV,non-breeding,within,10 minutes,after,Blank,both,A,7,70,7,7,m,16,Behaviour,Intake,Foraging,giving up density,-1,1.2952,0.9111,1.6793,0.0384,from figure 3,,,,,,,,,,,,,
56,KJM,Exposito-Granados,2016,European roller,Coracias garrulus,N,ladder snake,Rhinechis scalaris,Reptile,Field,V,breeding,within,90 minutes,during,Blank,both,A,17,34,17,17,n,17,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),1,0.3007,-6.553,1.2568,0.238,text,,,,,,,,,,,,,
56,KJM,Exposito-Granados,2016,European roller,Coracias garrulus,N,ladder snake,Rhinechis scalaris,Reptile,Field,V,breeding,within,90 minutes,during,Blank,M,A,9,18,9,9,n,17,Behaviour,ParentalCare,Provisioning,provision (y/n),1,1.5431,0.1604,2.93,0.497735,counts given in text,,,,,,,,,,,,,
56,KJM,Exposito-Granados,2016,European roller,Coracias garrulus,N,ladder snake,Rhinechis scalaris,Reptile,Field,V,breeding,within,90 minutes,during,Blank,F,A,9,18,9,9,n,17,Behaviour,ParentalCare,Provisioning,provision (y/n),1,0,-1.0833,1.0833,0.305506,counts given in text,,,,,,,,,,,,,
56,KJM,Exposito-Granados,2016,European roller,Coracias garrulus,N,ladder snake,Rhinechis scalaris,Reptile,Field,V,breeding,within,90 minutes,during,Blank,F,A,9,18,9,9,n,18,Physiology,Condition,Growth,brood mass gain,1,-0.9522,-1.9271,0.0227,0.2474,text,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,42,42,25,17,o,19,Behaviour,AntiPredator,Avoidance,nest abandonment,1,1.1014,-0.0954,2.2983,0.372901,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,32,32,20,12,p,19,Behaviour,AntiPredator,Avoidance,nest abandonment,1,0.8742,-0.0866,1.835,0.240313,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,18,18,10,8,q,19,Behaviour,AntiPredator,Avoidance,nest abandonmnet,1,2.0663,-1.8451,5.9777,3.982668,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,4,4,2,2,r,19,Behaviour,AntiPredator,Avoidance,nest abandonmnet,1,0,-10.8603,10.8603,30.703389,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,17,17,10,7,o,20,LifeHistory,reproduction,ClutchSize,clutch size,1,-0.2571,-1.0313,0.5171,0.156033,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,13,13,6,7,o,20,LifeHistory,reproduction,EggSize,egg mass,1,0.665,-0.3264,1.6564,0.255862,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,17,17,10,7,p,20,LifeHistory,reproduction,ClutchSize,clutch size,1,-0.1848,-0.1527,0.7831,0.243862,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,13,13,6,7,p,20,LifeHistory,reproduction,EggSize,egg mass,1,-0.5783,-1.6912,0.5345,0.322388,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,12,12,7,5,q,20,LifeHistory,reproduction,ClutchSize,clutch size,1,0,-1.1476,1.1476,0.342857,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,14,14,8,6,q,20,LifeHistory,reproduction,EggSize,egg mass,1,-1.1405,-2.2802,-0.0008,0.338123,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,4,4,2,2,r,20,LifeHistory,reproduction,ClutchSize,clutch size,1,0,-1.96,1.96,1,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,4,4,2,2,r,20,LifeHistory,reproduction,EggSize,egg mass,1,1.2675,-0.8803,3.4153,1.20082,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,12,12,5,7,o,22,Behaviour,ParentalCare,Incubation,nest attentiveness: proportion of time incubating,1,1.5119,0.4007,2.6231,0.321429,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,6,6,2,4,o,22,Behaviour,ParentalCare,Incubation,incubation period length,1,-1.0111,-2.0591,0.0369,0.285915,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,12,12,5,7,p,22,Behaviour,ParentalCare,Incubation,nest attentiveness: proportion of time incubating,1,1.3159,0.0533,2.5785,0.415005,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,6,6,2,4,p,22,Behaviour,ParentalCare,Incubation,incubation period length,1,-4.6017,-7.7097,-1.4937,2.514621,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,6,6,3,3,q,22,Behaviour,ParentalCare,Incubation,nest attentiveness: proportion of time incubating,1,1.8183,-0.0842,3.7207,0.942177,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,4,4,2,2,q,22,Behaviour,ParentalCare,Incubation,incubation period length,1,-1.9737,-4.3637,0.4163,1.486929,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,3,3,1,2,r,22,Behaviour,ParentalCare,Incubation,nest attentiveness: proportion of time incubating,1,3,-0.3948,6.3948,3,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,3,3,1,2,r,22,Behaviour,ParentalCare,Incubation,incubation period length,1,-40,-72.096,-7.904,268.166667,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,7,7,3,4,o,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,-0.0777,-1.0305,0.875,0.236289,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,6,6,2,4,o,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,0.9738,-0.3203,2.2679,0.435961,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,7,7,3,4,p,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,-1.5435,-3.2449,0.1578,0.753507,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,6,6,2,4,p,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,0,-1.6974,1.6974,0.75,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,3,3,1,2,q,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,1,-1.5303,3.5303,1.666667,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,3,3,1,2,q,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,1,-1.5303,3.5303,1.66667,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,3,3,1,2,r,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,-3,-6.3948,0.3948,3,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Swainson's thrush,Catharus ustulatus,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,3,3,1,2,r,24,LifeHistory,reproduction,Nestlings,number of hatchlings,1,-3,-6.3948,0.3948,3,ESM table S2,,,,,,,,,,,,,
214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,Field,A,breeding,among,5 weeks,after,Blank,both,A,8,8,3,5,o,25,Behaviour,ParentalCare,Provisioning,nest provisioning rate,1,-0.1852,-1.3745,1.0042,0.368225,ESM table S2,,,,,,,,,,,,,
