complete,RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,PredTo,Setting,Treatment,Season,Design,TreatmentDuration,duration_days,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,PredictedDirection,Direction,d,l_95,u_95,v,Calculation,Control_mean,Control_se,Control_sd,Treatment_mean,Treatment_se,Treatment_sd,control_median,control_lowerquartile,control_upperquartile,treament_median,treament_lowerquartile,treatment_upperquartile,Beta_estimate,Beta_se,Beta_sd,l95CI,U95CI,SE,t,T,Z,F,Wald,X2,H,U,p,Details
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,asymptotic chick wing length,-1,1,-0.2129,-1.1631,0.7373,0.235025,ESM table S7,61.67,2.15,,60,2.86,,,,,,,,,,,,,,0.34,,,,,,,,0.559,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,chick wing growth rate,-1,1,0.222,-0.7284,1.1724,0.235135,ESM table S7,0.255,0.007,,0.26,0.009,,,,,,,,,,,,,,0.23,,,,,,,,0.629,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,chick wing inflection,-1,1,0.5059,-0.456,1.4678,0.240875,ESM table S7,9.26,0.25,,9.73,0.34,,,,,,,,,,,,,,2.04,,,,,,,,0.155,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,asymptotic chick tarsus length,-1,1,-0.1268,-1.0753,0.8218,0.234213,ESM table S7,18.95,0.36,,18.85,0.23,,,,,,,,,,,,,,0.05,,,,,,,,0.826,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,chick tarsus growth rate,-1,1,0,-0.9476,0.9476,0.23766,ESM table S7,0.316,0.011,,0.316,0.007,,,,,,,,,,,,,,<0.01,,,,,,,,0.974,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,chick tarsus inflection,-1,1,0.686,-0.2878,1.6598,0.246838,ESM table S7,0.53,0.02,,0.57,0.02,,,,,,,,,,,,,,,,,,,,,,0.145,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,42,42,25,17,o,26a,Behaviour,AntiPredator,Avoidance,nest abandonment (proportion),1,1,1.1014,-0.0954,2.2983,0.372901,"ESM table S7, ""proportion with event"" calculator",0.06,,,0.32,,,,,,,,,,,,,,,2.14,,,,,,,,0.042,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,26,26,14,12,o,26b,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,-0.2571,-1.0313,0.5171,0.156033,ESM table S7,3.83,0.14,,3.71,0.13,,,,,,,,,,,,,,0.36,,,,,,,,0.551,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,17,17,7,10,o,26b,LifeHistory,reproduction,EggSize,egg mass (g),-1,1,0.665,-0.3264,1.6564,0.255862,ESM table S7,1.65,0.07,,1.78,0.07,,,,,,,,,,,,,,7.66,,,,,,,,0.013,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,16,16,8,8,o,26c,Behaviour,ParentalCare,Incubation,nest attentiveness,-1,1,1.5119,0.4007,2.6231,0.0321429,ESM table S7,0.84,0.01,,0.88,0.01,,,,,,,,,,,,,,8.19,,,,,,,,0.012,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,16,16,9,7,o,26c,LifeHistory,Phenology,DevelopmentalTime,Incubation duration (days),1,1,-1.0111,-2.0591,0.0369,0.285915,ESM table S7,15.81,0.61,,14.28,0.54,,,,,,,,,,,,,,5.2,,,,,,,,0.038,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,17,17,9,8,o,26b,LifeHistory,reproduction,Nestlings,Number of hatchlings,-1,1,-0.0777,-1.0305,0.875,0.236289,ESM table S7,3.38,0.24,,3.33,0.23,,,,,,,,,,,,,,0.02,,,,,,,,0.901,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,11,11,6,5,o,26d,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),-1,1,0.0434,-1.1435,1.2304,0.366752,ESM table S7,15.39,2.11,,15.58,2.01,,,,,,,,,,,,,,0.08,,,,,,,,0.781,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,11,11,7,4,o,26b,LifeHistory,reproduction,Nestlings,Number of fledglings,-1,1,0.9738,-0.3203,2.2679,0.435961,ESM table S7,2.39,0.43,,3.19,0.35,,,,,,,,,,,,,,3.25,,,,,,,,0.107,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,asymptotic chick mass,-1,1,2.001,0.266,3.7359,0.78358,ESM table S7,11.04,0.22,,12.08,0.46,,,,,,,,,,,,,,,5.15,,,,,,,0.025,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,chick growth rate,-1,1,-0.1711,-1.6049,1.2627,0.535163,ESM table S7,0.609,0.027,,0.599,0.047,,,,,,,,,,,,,,,0.05,,,,,,,0.83,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,chick mass inflection,-1,1,2.1369,0.3635,3.9104,0.818741,ESM table S7,2.89,0.12,,3.47,0.23,,,,,,,,,,,,,,,6.39,,,,,,,0.013,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,asymptotic chick wing length,-1,1,1.7417,0.0752,3.4081,0.722923,ESM table S7,51.53,1.33,,56.54,2.31,,,,,,,,,,,,,,,1.18,,,,,,,0.281,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,chick wing growth rate,-1,1,-1.7707,-3.445,-0.0969,0.729291,ESM table S7,0.415,0.01,,0.382,0.011,,,,,,,,,,,,,,,2.35,,,,,,,0.129,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,chick wing inflection,-1,1,3.4497,1.2348,5.6647,1.277116,ESM table S7,5.31,0.16,,6.42,0.23,,,,,,,,,,,,,,,5.6,,,,,,,0.02,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,asymptotic chick tarsus length,-1,1,3.2558,1.1125,5.3992,1.195859,ESM table S7,16.58,0.52,,20.02,0.77,,,,,,,,,,,,,,,4.69,,,,,,,0.028,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,chick tarsus growth rate,-1,1,-2.6317,-4.5582,-0.7051,0.966193,ESM table S7,0.55,0.035,,0.388,0.028,,,,,,,,,,,,,,,8.48,,,,,,,0.004,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26,Physiology,Condition,Growth,chick tarsus inflection,-1,1,4.7921,2.0421,7.542,1.96857,ESM table S7,1.67,0.11,,2.86,0.21,,,,,,,,,,,,,,,7.72,,,,,,,0.007,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,32,32,20,12,p,26a,Behaviour,AntiPredator,Avoidance,nest abandonment (proportion),1,1,0.8742,-0.086,1.835,0.240313,ESM table S7,0.17,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.049,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,17,17,10,7,p,26b,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,-0.1848,-1.1527,0.7831,0.243862,ESM table S7,3.71,0.24,,3.6,0.2,,,,,,,,,,,,,,,0.02,,,,,,,0.894,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,13,13,6,7,p,26b,LifeHistory,reproduction,EggSize,egg mass (g),-1,1,-0.57,-1.6912,0.5345,0.322388,ESM table S7,1.49,0.07,,1.4,0.06,,,,,,,,,,,,,,,6.03,,,,,,,0.03,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,12,12,5,7,p,26c,Behaviour,ParentalCare,Incubation,nest attentiveness,-1,1,1.3159,0.0533,2.5785,0.415005,ESM table S7,0.63,0.04,,0.76,0.05,,,,,,,,,,,,,,,4.48,,,,,,,0.57,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,7,7,3,4,p,26b,LifeHistory,reproduction,Nestlings,Number of hatchlings,-1,1,-1.5435,-3.2449,0.1575,0.753507,ESM table S7,3.25,0.22,,2.67,0.26,,,,,,,,,,,,,,,2.88,,,,,,,0.133,
y,214,KJM,LaMann,2016,Chipping sparrow,Spizella passerina,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,8,8,3,5,p,26d,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),-1,1,-2.1784,-3.9639,-0.3929,0.829922,ESM table S7,6.58,0.54,,4.31,0.68,,,,,,,,,,,,,,,6.84,,,,,,,0.03,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,asymptotic chick mass,-1,1,-0.6818,-2.3279,0.9644,0.705402,ESM table S7,18.74,0.49,,18.3,0.42,,,,,,,,,,,,,,0.27,,,,,,,,0.602,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,chick growth rate,-1,1,-4.0241,-6.807,-1.2411,2.016109,ESM table S7,0.483,0.013,,0.417,0.01,,,,,,,,,,,,,,9.87,,,,,,,,0.003,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,chick mass inflection,-1,1,1.1435,-0.5826,2.8697,0.775641,ESM table S7,4.15,0.1,,4.32,0.11,,,,,,,,,,,,,,0.57,,,,,,,,0.454,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,asymptotic chick wing length,-1,1,0.0455,-1.555,1.646,0.666839,ESM table S7,65.51,3.17,,65.71,3.05,,,,,,,,,,,,,,<0.01,,,,,,,,0.974,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,chick wing growth rate,-1,1,-0.1487,-1.7512,1.4539,0.668508,ESM table S7,0.339,0.01,,0.337,0.009,,,,,,,,,,,,,,0.02,,,,,,,,0.894,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,chick wing inflection,-1,1,-0.4546,-2.0754,1.1663,0.683886,ESM table S7,7.09,0.28,,6.91,0.28,,,,,,,,,,,,,,0.11,,,,,,,,0.746,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,asymptotic chick tarsus length,-1,1,0.2889,-1.3197,1.8975,0.673621,ESM table S7,23.04,0.72,,23.3,0.54,,,,,,,,,,,,,,0.06,,,,,,,,0.811,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,chick tarsus growth rate,-1,1,0.7238,-0.928,2.3757,0.710329,ESM table S7,0.401,0.02,,0.42,0.017,,,,,,,,,,,,,,0.32,,,,,,,,0.576,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26,Physiology,Condition,Growth,chick tarsus inflection,-1,1,-2.5672,-4.7283,-0.406,1.215855,ESM table S7,2.78,0.18,,2.21,0.13,,,,,,,,,,,,,,4.93,,,,,,,,0.03,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,10,8,q,26a,Behaviour,AntiPredator,Avoidance,nest abandonment (proportion),1,1,15527,-1.0054,4.1108,1.703532,ESM table S7,0.025,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.041,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,12,12,7,5,q,26b,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,0,-1.1476,1.1476,0.3429,"ESM table S7 (variance reported is zero, so assume sd=sqrt(mean))",4,,2,4,,2,,,,,,,,,,,,,0.02,,,,,,,,0.894,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,15,15,8,6,q,26b,LifeHistory,reproduction,EggSize,egg mass (g),-1,1,-1.1405,-2.2802,-0.0008,0.338123,ESM table S7,2.43,0.07,,2.25,0.06,,,,,,,,,,,,,,5.2,,,,,,,,0.041,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26c,Behaviour,ParentalCare,Incubation,nest attentiveness,-1,1,1.8183,-0.0842,3.7207,0.942177,ESM table S7,0.61,0.07,,0.79,0.07,,,,,,,,,,,,,,3.75,,,,,,,,0.099,
y,214,KJM,LaMann,2016,Dark-eyed junco,Junco hyemalis,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,6,6,3,3,q,26d,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),-1,1,0.2592,-1.3478,1.8662,0.672264,ESM table S7,6.51,1.83,,7.14,1.6,,,,,,,,,,,,,,0.12,,,,,,,,0.746,
y,251,KJM,Suzuki,2015,Japanese great tit,Parus minor,N,mobbing call rat snake,Elaphe climacophora,Reptile,N,Field,A,breeding,within,1 minute,0.001388889,during,disturbance,F,A,18,36,18,18,s,30,Behaviour,ParentalCare,Incubation,probability of response during incubation (leaving nextbox),-1,-1,1.8741,0.9788,2.7694,0.2084,"Figure2 (1 out of 18 leave in control, 13 out of 18 treatment)",,,,,,,,,,,,,,,,,,,,,,,,16.8312,,,0.000041,
y,251,KJM,Suzuki,2015,Japanese great tit,Parus minor,N,mobbing call jungle crow,Corvus macrorhynchos,Bird,N,Field,A,breeding,within,1 minute,0.001388889,during,disturbance,F,A,18,36,18,18,s,30,Behaviour,ParentalCare,Incubation,probability of response during incubation (leaving nextbox),-1,-1,0.202,-0.4546,0.8587,0.1122,"Figure2 (1 out of 18 leave in control, 2 out of 18 treatment)",,,,,,,,,,,,,,,,,,,,,,,,0.3636,,,0.546494,
y,632,KJM,Gerard,2015,Wedge-tailed shearwater,Puffinus pacificu,N,rat,Ratus ratus,Mammal,N,Field,O,breeding,within,7.5 minutes,0.010416667,during,disturbance,both,A,100,200,100,100,t,31,Behaviour,AntiPredator,Avoidance,predator avoidance (choice test),1,1,-0.1325,-0.5655,0.3005,0.04881,"calculated from raw counts in text using frequency distribution tab in ES calculator: 23 of 45, 7 or 15, and 23 of 40 chose control arm (not predator scent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,4,KJM,Abbey-Lee,2018,Great tit,Parus major,N,sparrowhawk,Accipiter_nisus,Bird,A,Field,A,breeding,among,4 months,122,after,NonPred,F,A,286,384,143,143,v,33,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,0,-0.2318,0.2318,0.013986,"provided in text, assumed individuals balanced across treatments",8.7,0.13,,8.7,0.15,,,,,,,,,,,,,,,,,,,,,,,
Shinichi,8,KJM,Abbey-Lee,2016,Great tit,Parus major,N,sparrowhawk,Accipiter_nisus,Bird,A,Field,A,breeding,within,10 seconds,0.000231481,after,NonPred,both,A,50,100,50,50,w,37,Behaviour,CostlyBehaviours,Courtship,number of songs,-1,1,-0.31847,,,,"from Table 1: interaction estimate, beta/sd",,,,,,,,,,,,,-0.54,-0.239795918,,,,,,,,,,,,,,
Shinichi,8,KJM,Abbey-Lee,2016,Great tit,Parus major,N,sparrowhawk,Accipiter_nisus,Bird,A,Field,A,breeding,within,10 seconds,0.000231481,after,NonPred,both,A,50,100,50,50,w,38,Behaviour,AntiPredator,Mobbing,number of alarms,1,1,0.355563,,,,"from Table 1: interaction estimate, beta/sd",,,,,,,,,,,,,1.86,0.739795918,,,,,,,,,,,,,,
y,8,KJM,Abbey-Lee,2016,Great tit,Parus major,N,sparrowhawk,Accipiter_nisus,Bird,A,Field,A,breeding,among,4 months,122,during,NonPred,both,A,657,657,331,326,x,39,Behaviour,AntiPredator,Avoidance,"predator avoidance, number of birds",1,-1,-0.0809,-0.2339,0.0721,0.006094,Figure 2,2.21,0.14,,2.04,0.1,,,,,,,,,,,,,,,,,,,,,,,
